user_id,bike_id,date_removed,station_removed,date_arrived,station_arrived,action
6,89,02/02/10 13:57,56,02/02/10 13:58,56,C  
6,89,02/02/10 15:12,56,02/02/10 15:12,56,C  
23,132,09/02/11 14:37,85,09/02/11 14:38,85,C  
30,57,05/02/10 11:36,85,05/02/10 11:37,85,C  
30,29,05/02/10 11:37,85,05/02/10 11:37,85,C  
30,76,05/02/10 12:41,85,05/02/10 12:43,85,C  
30,69,05/02/10 12:44,85,05/02/10 12:46,85,A  
30,17,05/02/10 13:15,85,05/02/10 13:17,85,C  
30,45,05/02/10 13:18,85,05/02/10 13:19,85,C  
30,27,05/02/10 13:20,85,05/02/10 13:21,85,C  
30,79,05/02/10 13:21,85,05/02/10 13:21,85,C  
30,86,05/02/10 13:21,85,05/02/10 13:22,85,C  
30,92,05/02/10 13:22,85,05/02/10 13:22,85,C  
30,67,05/02/10 13:23,85,05/02/10 13:23,85,C  
30,44,05/02/10 13:23,85,05/02/10 13:23,85,C  
30,76,05/02/10 13:24,85,05/02/10 13:24,85,C  
30,70,05/02/10 13:26,85,05/02/10 13:27,85,C  
30,67,05/02/10 15:21,85,05/02/10 15:21,85,C  
30,67,05/02/10 15:21,85,05/02/10 15:22,85,C  
30,67,05/02/10 15:22,85,05/02/10 15:49,85,A  
30,106,10/02/10 11:03,85,10/02/10 11:03,85,C  
30,106,10/02/10 11:11,85,10/02/10 11:12,85,C  
30,155,11/02/10 10:54,20,11/02/10 11:03,85,A  
30,155,11/02/10 11:15,85,12/02/10 11:42,17,A  
30,413,12/02/10 12:15,26,12/02/10 12:28,26,A  
30,412,12/02/10 12:52,26,12/02/10 12:53,26,C  
30,420,12/02/10 12:53,26,12/02/10 12:53,26,C  
30,236,12/02/10 22:37,79,12/02/10 22:37,79,C  
30,236,12/02/10 22:38,79,14/02/10 13:29,50,A  
30,123,15/02/10 16:52,85,15/02/10 17:22,85,A  
30,1178,04/02/11 20:50,85,04/02/11 20:50,85,C  
33,7,15/02/10 11:46,85,15/02/10 11:46,85,C  
33,678,06/03/10 13:59,85,06/03/10 14:00,85,C  
33,974,06/03/10 14:04,85,06/03/10 14:04,85,C  
33,319,31/03/10 14:49,85,31/03/10 14:50,85,C  
33,203,31/03/10 16:50,70,31/03/10 17:32,70,A  
33,1087,11/04/10 12:16,83,11/04/10 12:17,83,C  
33,1001,11/04/10 12:45,80,11/04/10 13:31,69,A  
33,501,11/04/10 14:17,69,11/04/10 14:43,71,A  
33,582,11/04/10 15:22,71,11/04/10 15:43,25,A  
33,1132,11/04/10 16:12,24,11/04/10 16:41,79,A  
33,39,13/04/10 10:36,61,13/04/10 11:46,61,A  
33,831,16/04/10 12:20,85,16/04/10 12:29,85,A  
33,442,06/07/10 9:39,85,06/07/10 10:18,42,A  
33,92,31/10/10 14:51,63,31/10/10 14:56,71,A  
33,868,31/10/10 14:57,71,31/10/10 15:05,84,A  
33,745,15/11/10 18:51,63,15/11/10 18:58,38,A  
33,1111,23/12/10 19:19,63,23/12/10 19:50,43,A  
33,340,21/11/10 9:55,74,21/11/10 9:57,63,A  
33,348,21/11/10 14:48,63,21/11/10 14:56,38,A  
33,103,22/11/10 18:46,63,22/11/10 18:54,38,A  
33,556,24/11/10 18:50,54,24/11/10 19:15,39,A  
33,299,28/11/10 15:21,63,28/11/10 15:26,64,A  
33,128,29/11/10 14:41,70,29/11/10 14:57,63,A  
33,701,29/11/10 18:51,63,29/11/10 19:34,43,A  
33,597,30/11/10 19:57,63,30/11/10 20:24,43,A  
33,195,01/12/10 19:01,63,01/12/10 19:08,54,A  
33,808,01/12/10 19:14,54,01/12/10 19:22,38,A  
33,592,02/12/10 18:53,63,02/12/10 19:00,38,A  
33,702,04/12/10 0:08,87,04/12/10 0:12,87,A  
33,444,04/12/10 0:18,87,04/12/10 0:18,87,C  
33,476,05/12/10 15:14,63,05/12/10 15:14,63,C  
33,46,05/12/10 15:15,63,05/12/10 15:41,43,A  
33,848,07/12/10 18:50,63,07/12/10 18:53,63,A  
33,270,08/12/10 18:50,63,08/12/10 19:19,43,A  
33,93,09/12/10 8:47,37,09/12/10 8:54,63,A  
33,78,09/12/10 11:30,63,09/12/10 11:50,85,A  
33,891,10/12/10 18:33,63,10/12/10 19:04,43,A  
33,167,12/12/10 16:31,87,12/12/10 16:32,87,C  
33,411,19/12/10 15:22,58,19/12/10 15:48,43,A  
33,444,21/12/10 18:56,63,21/12/10 18:57,63,C  
33,1085,21/12/10 18:58,63,21/12/10 19:31,87,A  
33,857,22/12/10 18:48,63,22/12/10 18:54,46,A  
33,670,22/12/10 19:13,46,22/12/10 19:29,85,A  
33,977,24/12/10 16:50,87,24/12/10 17:02,90,A  
33,845,24/12/10 17:26,90,24/12/10 17:35,65,A  
33,529,26/12/10 15:42,71,26/12/10 15:47,84,A  
33,971,27/12/10 12:30,63,27/12/10 12:36,84,A  
33,56,27/12/10 15:52,84,27/12/10 15:58,63,A  
33,903,27/12/10 18:44,63,27/12/10 18:48,54,A  
33,436,27/12/10 19:01,54,27/12/10 19:25,43,A  
33,533,03/02/11 11:18,18,03/02/11 11:32,63,A  
33,993,03/02/11 18:49,63,03/02/11 19:30,65,A  
33,1162,04/02/11 8:40,56,04/02/11 8:46,63,A  
33,247,04/02/11 15:17,63,04/02/11 15:20,74,A  
33,1191,04/02/11 23:41,34,05/02/11 0:01,87,A  
37,11,16/02/10 12:53,85,16/02/10 13:22,26,A  
37,69,16/02/10 15:44,76,17/02/10 21:58,7,A  
40,4,15/02/10 11:06,85,15/02/10 11:07,85,C  
40,434,15/02/10 19:05,75,15/02/10 21:03,24,A  
40,698,31/03/10 14:55,85,31/03/10 14:55,85,C  
40,780,31/03/10 16:05,63,31/03/10 17:21,70,A  
40,422,31/03/10 17:35,70,31/03/10 18:45,61,A  
40,108,31/03/10 19:28,72,31/03/10 19:52,72,A  
40,433,11/04/10 12:25,80,11/04/10 12:26,80,C  
40,369,11/04/10 12:28,80,11/04/10 12:29,80,C  
40,221,11/04/10 12:30,80,11/04/10 12:31,80,C  
40,742,11/04/10 12:31,80,11/04/10 12:33,80,C  
40,199,11/04/10 12:33,80,11/04/10 12:34,80,C  
40,0611-BAJAR,11/04/10 12:34,80,11/04/10 12:36,80,C  
40,775,11/04/10 12:36,80,11/04/10 12:38,80,A  
40,995,11/04/10 12:39,80,11/04/10 12:40,80,C  
40,375,11/04/10 12:41,80,11/04/10 12:42,80,C  
40,261,11/04/10 12:42,80,11/04/10 13:30,69,A  
40,1191,11/04/10 14:17,69,11/04/10 14:44,71,A  
40,1143,11/04/10 15:17,71,11/04/10 15:19,71,C  
40,907,11/04/10 15:21,71,11/04/10 15:43,25,A  
40,306,11/04/10 16:12,24,11/04/10 16:42,79,A  
40,603,13/04/10 10:35,61,13/04/10 11:43,61,A  
40,178,23/04/10 14:41,19,23/04/10 14:45,85,A  
40,1069,08/05/10 14:20,60,08/05/10 18:06,60,A  
40,308,09/05/10 14:00,60,09/05/10 17:54,83,A  
40,673,05/06/10 16:23,58,05/06/10 17:10,70,A  
40,1,05/06/10 17:28,61,05/06/10 17:54,46,A  
40,888,05/06/10 20:11,46,05/06/10 20:35,58,A  
40,762,06/06/10 11:36,46,06/06/10 11:39,46,A  
40,675,06/06/10 11:39,46,06/06/10 11:50,58,A  
40,1186,06/06/10 12:21,58,06/06/10 12:27,46,A  
